INDNAICS,SOC_LABEL,RACE_HISP,RACE_TOT,RACE_TOT_cv,TOT_MFG_WORKERS,RACE_MFG_SHARE,TOT_OCC_WORKERS,OCC_MFG_SHARE
3113,Architecture and Engineering Occupations,Hispanic AIAN,0,NaN,9383,0,183,0
3113,Building and Grounds Cleaning and Maintenance Occupations,Hispanic AIAN,0,NaN,9383,0,192,0
3113,Business and Financial Operations Occupations,Hispanic AIAN,0,NaN,9383,0,592,0
3113,Computer and Mathematical Occupations,Hispanic AIAN,0,NaN,9383,0,112,0
3113,Construction and Extraction Occupations,Hispanic AIAN,0,NaN,9383,0,83,0
3113,"Educations, Library, and Training Occupations",Hispanic AIAN,0,NaN,9383,0,93,0
3113,Food Preparation and Service Occupations,Hispanic AIAN,0,NaN,9383,0,86,0
3113,"Installation, Maintenance, and Repair Occupations",Hispanic AIAN,0,NaN,9383,0,331,0
3113,Legal Occupations,Hispanic AIAN,0,NaN,9383,0,26,0
3113,"Life, Physical, and Social Science Occupations",Hispanic AIAN,0,NaN,9383,0,139,0
3113,Management Occupations,Hispanic AIAN,0,NaN,9383,0,1283,0
3113,Office and Administrative Support Occupations,Hispanic AIAN,0,NaN,9383,0,923,0
3113,Personal Care and Service Occupations,Hispanic AIAN,0,NaN,9383,0,13,0
3113,Production Occupations,Hispanic AIAN,0,NaN,9383,0,3922,0
3113,Sales and Related Occupations,Hispanic AIAN,0,NaN,9383,0,207,0
3113,Tarnsportation and Material Moving Occupations,Hispanic AIAN,0,NaN,9383,0,1198,0
3113,Architecture and Engineering Occupations,Hispanic Asian,0,NaN,9383,0,183,0
3113,Building and Grounds Cleaning and Maintenance Occupations,Hispanic Asian,0,NaN,9383,0,192,0
3113,Business and Financial Operations Occupations,Hispanic Asian,0,NaN,9383,0,592,0
3113,Computer and Mathematical Occupations,Hispanic Asian,0,NaN,9383,0,112,0
3113,Construction and Extraction Occupations,Hispanic Asian,0,NaN,9383,0,83,0
3113,"Educations, Library, and Training Occupations",Hispanic Asian,0,NaN,9383,0,93,0
3113,Food Preparation and Service Occupations,Hispanic Asian,0,NaN,9383,0,86,0
3113,"Installation, Maintenance, and Repair Occupations",Hispanic Asian,0,NaN,9383,0,331,0
3113,Legal Occupations,Hispanic Asian,0,NaN,9383,0,26,0
3113,"Life, Physical, and Social Science Occupations",Hispanic Asian,0,NaN,9383,0,139,0
3113,Management Occupations,Hispanic Asian,0,NaN,9383,0,1283,0
3113,Office and Administrative Support Occupations,Hispanic Asian,0,NaN,9383,0,923,0
3113,Personal Care and Service Occupations,Hispanic Asian,0,NaN,9383,0,13,0
3113,Production Occupations,Hispanic Asian,0,NaN,9383,0,3922,0
3113,Sales and Related Occupations,Hispanic Asian,0,NaN,9383,0,207,0
3113,Tarnsportation and Material Moving Occupations,Hispanic Asian,0,NaN,9383,0,1198,0
3113,Architecture and Engineering Occupations,Hispanic Black,0,NaN,9383,0,183,0
3113,Building and Grounds Cleaning and Maintenance Occupations,Hispanic Black,0,NaN,9383,0,192,0
3113,Business and Financial Operations Occupations,Hispanic Black,0,NaN,9383,0,592,0
3113,Computer and Mathematical Occupations,Hispanic Black,0,NaN,9383,0,112,0
3113,Construction and Extraction Occupations,Hispanic Black,0,NaN,9383,0,83,0
3113,"Educations, Library, and Training Occupations",Hispanic Black,0,NaN,9383,0,93,0
3113,Food Preparation and Service Occupations,Hispanic Black,0,NaN,9383,0,86,0
3113,"Installation, Maintenance, and Repair Occupations",Hispanic Black,0,NaN,9383,0,331,0
3113,Legal Occupations,Hispanic Black,0,NaN,9383,0,26,0
3113,"Life, Physical, and Social Science Occupations",Hispanic Black,0,NaN,9383,0,139,0
3113,Management Occupations,Hispanic Black,0,NaN,9383,0,1283,0
3113,Office and Administrative Support Occupations,Hispanic Black,0,NaN,9383,0,923,0
3113,Personal Care and Service Occupations,Hispanic Black,0,NaN,9383,0,13,0
3113,Production Occupations,Hispanic Black,14,1.1779218989389746,9383,0.0014920601087072365,3922,0.0035696073431922487
3113,Sales and Related Occupations,Hispanic Black,0,NaN,9383,0,207,0
3113,Tarnsportation and Material Moving Occupations,Hispanic Black,0,NaN,9383,0,1198,0
3113,Architecture and Engineering Occupations,Hispanic Multiracial,16,1.0528050329951886,9383,0.0017052115528082702,183,0.08743169398907104
3113,Building and Grounds Cleaning and Maintenance Occupations,Hispanic Multiracial,0,NaN,9383,0,192,0
3113,Business and Financial Operations Occupations,Hispanic Multiracial,0,NaN,9383,0,592,0
3113,Computer and Mathematical Occupations,Hispanic Multiracial,0,NaN,9383,0,112,0
3113,Construction and Extraction Occupations,Hispanic Multiracial,0,NaN,9383,0,83,0
3113,"Educations, Library, and Training Occupations",Hispanic Multiracial,0,NaN,9383,0,93,0
3113,Food Preparation and Service Occupations,Hispanic Multiracial,0,NaN,9383,0,86,0
3113,"Installation, Maintenance, and Repair Occupations",Hispanic Multiracial,18,0.9984555975339683,9383,0.001918362996909304,331,0.054380664652567974
3113,Legal Occupations,Hispanic Multiracial,0,NaN,9383,0,26,0
3113,"Life, Physical, and Social Science Occupations",Hispanic Multiracial,0,NaN,9383,0,139,0
3113,Management Occupations,Hispanic Multiracial,0,NaN,9383,0,1283,0
3113,Office and Administrative Support Occupations,Hispanic Multiracial,0,NaN,9383,0,923,0
3113,Personal Care and Service Occupations,Hispanic Multiracial,0,NaN,9383,0,13,0
3113,Production Occupations,Hispanic Multiracial,0,NaN,9383,0,3922,0
3113,Sales and Related Occupations,Hispanic Multiracial,0,NaN,9383,0,207,0
3113,Tarnsportation and Material Moving Occupations,Hispanic Multiracial,0,NaN,9383,0,1198,0
3113,Architecture and Engineering Occupations,Hispanic Other,24,1.0109212657549327,9383,0.0025578173292124056,183,0.13114754098360656
3113,Building and Grounds Cleaning and Maintenance Occupations,Hispanic Other,29,1.0048337395972808,9383,0.00309069593946499,192,0.15104166666666666
3113,Business and Financial Operations Occupations,Hispanic Other,27,1.038689160176308,9383,0.002877544495363956,592,0.04560810810810811
3113,Computer and Mathematical Occupations,Hispanic Other,0,NaN,9383,0,112,0
3113,Construction and Extraction Occupations,Hispanic Other,0,NaN,9383,0,83,0
3113,"Educations, Library, and Training Occupations",Hispanic Other,0,NaN,9383,0,93,0
3113,Food Preparation and Service Occupations,Hispanic Other,0,NaN,9383,0,86,0
3113,"Installation, Maintenance, and Repair Occupations",Hispanic Other,42,1.0020104506993217,9383,0.004476180326121709,331,0.1268882175226586
3113,Legal Occupations,Hispanic Other,0,NaN,9383,0,26,0
3113,"Life, Physical, and Social Science Occupations",Hispanic Other,0,NaN,9383,0,139,0
3113,Management Occupations,Hispanic Other,148,0.8574800851452733,9383,0.0157732068634765,1283,0.11535463756819954
3113,Office and Administrative Support Occupations,Hispanic Other,112,0.41377932413501844,9383,0.011936480869657892,923,0.12134344528710726
3113,Personal Care and Service Occupations,Hispanic Other,0,NaN,9383,0,13,0
3113,Production Occupations,Hispanic Other,1196,0.2183234293366557,9383,0.1274645635724182,3922,0.30494645588985214
3113,Sales and Related Occupations,Hispanic Other,36,0.8624541497922236,9383,0.003836725993818608,207,0.17391304347826086
3113,Tarnsportation and Material Moving Occupations,Hispanic Other,344,0.33592188583897575,9383,0.03666204838537781,1198,0.2871452420701169
3113,Architecture and Engineering Occupations,Hispanic White,0,NaN,9383,0,183,0
3113,Building and Grounds Cleaning and Maintenance Occupations,Hispanic White,104,0.837673301861106,9383,0.011083875093253757,192,0.5416666666666666
3113,Business and Financial Operations Occupations,Hispanic White,85,0.6226408763481996,9383,0.009058936374293936,592,0.14358108108108109
3113,Computer and Mathematical Occupations,Hispanic White,12,0.9877724659274748,9383,0.0012789086646062028,112,0.10714285714285714
3113,Construction and Extraction Occupations,Hispanic White,14,1.2608710950637845,9383,0.0014920601087072365,83,0.1686746987951807
3113,"Educations, Library, and Training Occupations",Hispanic White,0,NaN,9383,0,93,0
3113,Food Preparation and Service Occupations,Hispanic White,0,NaN,9383,0,86,0
3113,"Installation, Maintenance, and Repair Occupations",Hispanic White,70,0.5723296466982957,9383,0.007460300543536183,331,0.21148036253776434
3113,Legal Occupations,Hispanic White,0,NaN,9383,0,26,0
3113,"Life, Physical, and Social Science Occupations",Hispanic White,43,0.7495626992652449,9383,0.004582756048172226,139,0.30935251798561153
3113,Management Occupations,Hispanic White,138,0.5200506090765015,9383,0.014707449642971332,1283,0.10756040530007795
3113,Office and Administrative Support Occupations,Hispanic White,111,0.43199114120061016,9383,0.011829905147607374,923,0.12026002166847237
3113,Personal Care and Service Occupations,Hispanic White,0,NaN,9383,0,13,0
3113,Production Occupations,Hispanic White,1216,0.1788664549255341,9383,0.12959607801342854,3922,0.3100458949515553
3113,Sales and Related Occupations,Hispanic White,0,NaN,9383,0,207,0
3113,Tarnsportation and Material Moving Occupations,Hispanic White,418,0.2571937237268076,9383,0.044548651817116064,1198,0.34891485809682804
3113,Architecture and Engineering Occupations,Non-Hispanic AIAN,0,NaN,9383,0,183,0
3113,Building and Grounds Cleaning and Maintenance Occupations,Non-Hispanic AIAN,0,NaN,9383,0,192,0
3113,Business and Financial Operations Occupations,Non-Hispanic AIAN,0,NaN,9383,0,592,0
3113,Computer and Mathematical Occupations,Non-Hispanic AIAN,0,NaN,9383,0,112,0
3113,Construction and Extraction Occupations,Non-Hispanic AIAN,0,NaN,9383,0,83,0
3113,"Educations, Library, and Training Occupations",Non-Hispanic AIAN,0,NaN,9383,0,93,0
3113,Food Preparation and Service Occupations,Non-Hispanic AIAN,0,NaN,9383,0,86,0
3113,"Installation, Maintenance, and Repair Occupations",Non-Hispanic AIAN,0,NaN,9383,0,331,0
3113,Legal Occupations,Non-Hispanic AIAN,0,NaN,9383,0,26,0
3113,"Life, Physical, and Social Science Occupations",Non-Hispanic AIAN,0,NaN,9383,0,139,0
3113,Management Occupations,Non-Hispanic AIAN,0,NaN,9383,0,1283,0
3113,Office and Administrative Support Occupations,Non-Hispanic AIAN,0,NaN,9383,0,923,0
3113,Personal Care and Service Occupations,Non-Hispanic AIAN,0,NaN,9383,0,13,0
3113,Production Occupations,Non-Hispanic AIAN,0,NaN,9383,0,3922,0
3113,Sales and Related Occupations,Non-Hispanic AIAN,0,NaN,9383,0,207,0
3113,Tarnsportation and Material Moving Occupations,Non-Hispanic AIAN,0,NaN,9383,0,1198,0
3113,Architecture and Engineering Occupations,Non-Hispanic Asian,0,NaN,9383,0,183,0
3113,Building and Grounds Cleaning and Maintenance Occupations,Non-Hispanic Asian,0,NaN,9383,0,192,0
3113,Business and Financial Operations Occupations,Non-Hispanic Asian,32,0.731410238853682,9383,0.0034104231056165404,592,0.05405405405405406
3113,Computer and Mathematical Occupations,Non-Hispanic Asian,6,1.3091557924436987,9383,6.394543323031014e-4,112,0.05357142857142857
3113,Construction and Extraction Occupations,Non-Hispanic Asian,16,1.101135777277262,9383,0.0017052115528082702,83,0.1927710843373494
3113,"Educations, Library, and Training Occupations",Non-Hispanic Asian,0,NaN,9383,0,93,0
3113,Food Preparation and Service Occupations,Non-Hispanic Asian,0,NaN,9383,0,86,0
3113,"Installation, Maintenance, and Repair Occupations",Non-Hispanic Asian,0,NaN,9383,0,331,0
3113,Legal Occupations,Non-Hispanic Asian,0,NaN,9383,0,26,0
3113,"Life, Physical, and Social Science Occupations",Non-Hispanic Asian,0,NaN,9383,0,139,0
3113,Management Occupations,Non-Hispanic Asian,151,0.4822560936588135,9383,0.01609293402962805,1283,0.11769290724863601
3113,Office and Administrative Support Occupations,Non-Hispanic Asian,24,1.081448681167997,9383,0.0025578173292124056,923,0.02600216684723727
3113,Personal Care and Service Occupations,Non-Hispanic Asian,0,NaN,9383,0,13,0
3113,Production Occupations,Non-Hispanic Asian,108,0.4279741412390158,9383,0.011510177981455825,3922,0.027536970933197347
3113,Sales and Related Occupations,Non-Hispanic Asian,15,1.0909730620974207,9383,0.0015986358307577533,207,0.07246376811594203
3113,Tarnsportation and Material Moving Occupations,Non-Hispanic Asian,13,1.1029814356267644,9383,0.0013854843866567196,1198,0.010851419031719533
3113,Architecture and Engineering Occupations,Non-Hispanic Black,0,NaN,9383,0,183,0
3113,Building and Grounds Cleaning and Maintenance Occupations,Non-Hispanic Black,18,1.0270267526297863,9383,0.001918362996909304,192,0.09375
3113,Business and Financial Operations Occupations,Non-Hispanic Black,52,0.7555759196892138,9383,0.0055419375466268786,592,0.08783783783783784
3113,Computer and Mathematical Occupations,Non-Hispanic Black,0,NaN,9383,0,112,0
3113,Construction and Extraction Occupations,Non-Hispanic Black,0,NaN,9383,0,83,0
3113,"Educations, Library, and Training Occupations",Non-Hispanic Black,61,0.9873018019628532,9383,0.00650111904508153,93,0.6559139784946236
3113,Food Preparation and Service Occupations,Non-Hispanic Black,53,0.9927469253612266,9383,0.005648513268677395,86,0.6162790697674418
3113,"Installation, Maintenance, and Repair Occupations",Non-Hispanic Black,0,NaN,9383,0,331,0
3113,Legal Occupations,Non-Hispanic Black,0,NaN,9383,0,26,0
3113,"Life, Physical, and Social Science Occupations",Non-Hispanic Black,0,NaN,9383,0,139,0
3113,Management Occupations,Non-Hispanic Black,56,0.6072610179136736,9383,0.005968240434828946,1283,0.043647700701480906
3113,Office and Administrative Support Occupations,Non-Hispanic Black,170,0.37841410099771655,9383,0.018117872748587872,923,0.18418201516793067
3113,Personal Care and Service Occupations,Non-Hispanic Black,0,NaN,9383,0,13,0
3113,Production Occupations,Non-Hispanic Black,514,0.2135762362778918,9383,0.05477992113396568,3922,0.13105558388577257
3113,Sales and Related Occupations,Non-Hispanic Black,35,0.7069624589519213,9383,0.0037301502717680913,207,0.16908212560386474
3113,Tarnsportation and Material Moving Occupations,Non-Hispanic Black,131,0.46503839348808895,9383,0.013961419588617713,1198,0.10934891485809682
3113,Architecture and Engineering Occupations,Non-Hispanic Multiracial,0,NaN,9383,0,183,0
3113,Building and Grounds Cleaning and Maintenance Occupations,Non-Hispanic Multiracial,0,NaN,9383,0,192,0
3113,Business and Financial Operations Occupations,Non-Hispanic Multiracial,0,NaN,9383,0,592,0
3113,Computer and Mathematical Occupations,Non-Hispanic Multiracial,0,NaN,9383,0,112,0
3113,Construction and Extraction Occupations,Non-Hispanic Multiracial,0,NaN,9383,0,83,0
3113,"Educations, Library, and Training Occupations",Non-Hispanic Multiracial,0,NaN,9383,0,93,0
3113,Food Preparation and Service Occupations,Non-Hispanic Multiracial,0,NaN,9383,0,86,0
3113,"Installation, Maintenance, and Repair Occupations",Non-Hispanic Multiracial,0,NaN,9383,0,331,0
3113,Legal Occupations,Non-Hispanic Multiracial,0,NaN,9383,0,26,0
3113,"Life, Physical, and Social Science Occupations",Non-Hispanic Multiracial,0,NaN,9383,0,139,0
3113,Management Occupations,Non-Hispanic Multiracial,0,NaN,9383,0,1283,0
3113,Office and Administrative Support Occupations,Non-Hispanic Multiracial,0,NaN,9383,0,923,0
3113,Personal Care and Service Occupations,Non-Hispanic Multiracial,0,NaN,9383,0,13,0
3113,Production Occupations,Non-Hispanic Multiracial,75,0.8500196076169851,9383,0.007993179153788768,3922,0.01912289648138705
3113,Sales and Related Occupations,Non-Hispanic Multiracial,0,NaN,9383,0,207,0
3113,Tarnsportation and Material Moving Occupations,Non-Hispanic Multiracial,28,1.1186612808283345,9383,0.002984120217414473,1198,0.02337228714524207
3113,Architecture and Engineering Occupations,Non-Hispanic Other,0,NaN,9383,0,183,0
3113,Building and Grounds Cleaning and Maintenance Occupations,Non-Hispanic Other,0,NaN,9383,0,192,0
3113,Business and Financial Operations Occupations,Non-Hispanic Other,0,NaN,9383,0,592,0
3113,Computer and Mathematical Occupations,Non-Hispanic Other,0,NaN,9383,0,112,0
3113,Construction and Extraction Occupations,Non-Hispanic Other,0,NaN,9383,0,83,0
3113,"Educations, Library, and Training Occupations",Non-Hispanic Other,0,NaN,9383,0,93,0
3113,Food Preparation and Service Occupations,Non-Hispanic Other,0,NaN,9383,0,86,0
3113,"Installation, Maintenance, and Repair Occupations",Non-Hispanic Other,0,NaN,9383,0,331,0
3113,Legal Occupations,Non-Hispanic Other,0,NaN,9383,0,26,0
3113,"Life, Physical, and Social Science Occupations",Non-Hispanic Other,0,NaN,9383,0,139,0
3113,Management Occupations,Non-Hispanic Other,0,NaN,9383,0,1283,0
3113,Office and Administrative Support Occupations,Non-Hispanic Other,0,NaN,9383,0,923,0
3113,Personal Care and Service Occupations,Non-Hispanic Other,0,NaN,9383,0,13,0
3113,Production Occupations,Non-Hispanic Other,44,1.0117338443982324,9383,0.004689331770222743,3922,0.011218765935747067
3113,Sales and Related Occupations,Non-Hispanic Other,0,NaN,9383,0,207,0
3113,Tarnsportation and Material Moving Occupations,Non-Hispanic Other,0,NaN,9383,0,1198,0
3113,Architecture and Engineering Occupations,Non-Hispanic White,143,0.3077399835918308,9383,0.015240328253223915,183,0.7814207650273224
3113,Building and Grounds Cleaning and Maintenance Occupations,Non-Hispanic White,41,0.7470544975887893,9383,0.004369604604071192,192,0.21354166666666666
3113,Business and Financial Operations Occupations,Non-Hispanic White,396,0.2708902779719577,9383,0.04220398593200469,592,0.668918918918919
3113,Computer and Mathematical Occupations,Non-Hispanic White,94,0.8022327658435727,9383,0.010018117872748589,112,0.8392857142857143
3113,Construction and Extraction Occupations,Non-Hispanic White,53,0.676606509586277,9383,0.005648513268677395,83,0.6385542168674698
3113,"Educations, Library, and Training Occupations",Non-Hispanic White,32,0.6833682663835072,9383,0.0034104231056165404,93,0.34408602150537637
3113,Food Preparation and Service Occupations,Non-Hispanic White,33,0.6903506515087586,9383,0.0035169988276670576,86,0.38372093023255816
3113,"Installation, Maintenance, and Repair Occupations",Non-Hispanic White,201,0.3364284167575475,9383,0.021421720132153894,331,0.6072507552870091
3113,Legal Occupations,Non-Hispanic White,26,1.0397072300702517,9383,0.0027709687733134393,26,1
3113,"Life, Physical, and Social Science Occupations",Non-Hispanic White,96,0.5121727868031126,9383,0.010231269316849622,139,0.6906474820143885
3113,Management Occupations,Non-Hispanic White,790,0.19973303765856698,9383,0.08419482041990835,1283,0.6157443491816056
3113,Office and Administrative Support Occupations,Non-Hispanic White,506,0.2234552216704716,9383,0.053927315357561546,923,0.5482123510292525
3113,Personal Care and Service Occupations,Non-Hispanic White,13,0.7133552688842849,9383,0.0013854843866567196,13,1
3113,Production Occupations,Non-Hispanic White,755,0.2064783416166786,9383,0.08046467014814025,3922,0.19250382457929627
3113,Sales and Related Occupations,Non-Hispanic White,121,0.3960868283976128,9383,0.012895662368112544,207,0.5845410628019324
3113,Tarnsportation and Material Moving Occupations,Non-Hispanic White,264,0.4785569243026161,9383,0.02813599062133646,1198,0.22036727879799667
3114,Architecture and Engineering Occupations,Hispanic AIAN,0,NaN,6728,0,33,0
3114,Building and Grounds Cleaning and Maintenance Occupations,Hispanic AIAN,0,NaN,6728,0,52,0
3114,Business and Financial Operations Occupations,Hispanic AIAN,0,NaN,6728,0,504,0
3114,Computer and Mathematical Occupations,Hispanic AIAN,0,NaN,6728,0,169,0
3114,"Farming, Fishing, and Forestry Occupations",Hispanic AIAN,0,NaN,6728,0,38,0
3114,Food Preparation and Service Occupations,Hispanic AIAN,0,NaN,6728,0,127,0
3114,"Installation, Maintenance, and Repair Occupations",Hispanic AIAN,0,NaN,6728,0,258,0
3114,Legal Occupations,Hispanic AIAN,0,NaN,6728,0,15,0
3114,"Life, Physical, and Social Science Occupations",Hispanic AIAN,0,NaN,6728,0,101,0
3114,Management Occupations,Hispanic AIAN,0,NaN,6728,0,820,0
3114,Office and Administrative Support Occupations,Hispanic AIAN,0,NaN,6728,0,544,0
3114,Production Occupations,Hispanic AIAN,0,NaN,6728,0,2520,0
3114,Protective Service Occupations,Hispanic AIAN,0,NaN,6728,0,29,0
3114,Sales and Related Occupations,Hispanic AIAN,0,NaN,6728,0,255,0
3114,Tarnsportation and Material Moving Occupations,Hispanic AIAN,0,NaN,6728,0,1263,0
3114,Architecture and Engineering Occupations,Hispanic Asian,0,NaN,6728,0,33,0
3114,Building and Grounds Cleaning and Maintenance Occupations,Hispanic Asian,0,NaN,6728,0,52,0
3114,Business and Financial Operations Occupations,Hispanic Asian,0,NaN,6728,0,504,0
3114,Computer and Mathematical Occupations,Hispanic Asian,0,NaN,6728,0,169,0
3114,"Farming, Fishing, and Forestry Occupations",Hispanic Asian,0,NaN,6728,0,38,0
3114,Food Preparation and Service Occupations,Hispanic Asian,0,NaN,6728,0,127,0
3114,"Installation, Maintenance, and Repair Occupations",Hispanic Asian,0,NaN,6728,0,258,0
3114,Legal Occupations,Hispanic Asian,0,NaN,6728,0,15,0
3114,"Life, Physical, and Social Science Occupations",Hispanic Asian,0,NaN,6728,0,101,0
3114,Management Occupations,Hispanic Asian,0,NaN,6728,0,820,0
3114,Office and Administrative Support Occupations,Hispanic Asian,0,NaN,6728,0,544,0
3114,Production Occupations,Hispanic Asian,0,NaN,6728,0,2520,0
3114,Protective Service Occupations,Hispanic Asian,0,NaN,6728,0,29,0
3114,Sales and Related Occupations,Hispanic Asian,0,NaN,6728,0,255,0
