INDNAICS,TOT_EMP,TOT_EMP_se,MED_TOT_INC_NAICS_q50,MED_TOT_INC_NAICS_q50_se,MED_WAGE_INC_NAICS_q50,MED_WAGE_INC_NAICS_q50_se,MED_TOT_INC_q50,MED_WAGE_INC_q50,MFG,MED_INC_DUMMY,MED_WAGE_DUMMY
111,7421,573.8210086777932,28917.995283018867,1187.8475683986226,18970,2258.5206506902446,4e4,36e3,0,0,0
112,2614,314.4211347858156,24144.72340425532,2231.8826888617177,7622,3768.779249244852,4e4,36e3,0,0,0
1133,180,62.621481937111646,17196,3033.098500836377,17196,3033.098500836377,4e4,36e3,0,0,0
113M,1126,188.24279534686048,41728.200000000004,3606.462616637471,37745.28571428572,7525.397467276892,4e4,36e3,0,1,1
114,216,82.6589378107413,23369.235294117643,5664.48509205286,8352.386363636364,5114.658694882692,4e4,36e3,0,0,0
115,1023,176.87537985824935,20718.11111111111,5800.096250925477,20023,3507.1419231727696,4e4,36e3,0,0,0
211,446,91.96113309436764,62073.26315789474,15105.641009207731,62073.26315789474,15105.641009207731,4e4,36e3,0,1,1
2121,360,120.74622147297198,2e4,2707.9759037982985,2e4,8238.134798262452,4e4,36e3,0,0,0
2122,64,32.88920795641026,80512.86956521739,27412.574242147217,80405.13043478261,28532.98469023194,4e4,36e3,0,1,1
2123,1106,174.98785672154511,68505.609375,6249.799834113353,63721.546875,6150.77008831557,4e4,36e3,0,1,1
213,242,75.78192396607518,26313,11604.763912521987,26313,11668.467524031821,4e4,36e3,0,0,0
2211P,12991,697.3135593117346,9e4,3370.7733658095385,85e3,2894.5,4e4,36e3,0,1,1
2212P,4381,415.14232499228507,63947.851851851854,3717.7284381194204,63672.88888888889,3452.030844618279,4e4,36e3,0,1,1
22132,2185,222.8049595498269,70210,4122.752374661435,67826.26666666666,3795.2058085904573,4e4,36e3,0,1,1
2213M,4876,383.18089722740615,60096.307692307695,2296.1723365021717,60049,1817,4e4,36e3,0,1,1
221MP,1075,187.63461834107267,70357.91304347827,13390.341749514975,70357.91304347827,13048.21771246033,4e4,36e3,0,1,1
22S,473,123.5548461210648,62182.57142857143,8662.223988905163,60794.583333333336,9422.418064752716,4e4,36e3,0,1,1
23,229511,3116.7822108706923,44097.258620689645,898.6310979249774,4e4,526.75,4e4,36e3,0,1,1
3113,7314,492.96576960271796,37719.49999999999,2038.9639659448349,35676.28571428572,1992.1216750244066,4e4,36e3,1,0,0
3114,5787,534.7917819114276,36131,3760.4106596855854,35614,3038.75,4e4,36e3,1,0,0
3115,3777,316.874659763131,51585.22619047619,5595.820971640387,50058,5365.417179621556,4e4,36e3,1,1,1
3116,12132,769.6094788917299,27873,1354.124065699726,27e3,1330.1355933745526,4e4,36e3,1,0,0
311811,6503,476.6035039736909,18582,893.75,18021,860.138648965195,4e4,36e3,1,0,0
3118Z,11494,709.0754191198564,28180.05,1710.0186363328303,27939.260869565216,1497.6360849126104,4e4,36e3,1,0,0
311M1,5250,480.65080879990205,52684.8,4934.36503803634,52608.86956521739,5246.95472996959,4e4,36e3,1,1,1
311M2,10099,662.0322499697428,38955.892857142855,3354.380079039134,38070.4375,3223.7915382602496,4e4,36e3,1,0,1
311S,2325,313.18732413684944,31148.722222222223,6444.801724889585,31148.722222222223,6332.398310268569,4e4,36e3,1,0,0
3121,6614,511.32455446614335,53693.10526315789,3822.6538074254368,52613.03333333333,3309.2296113514312,4e4,36e3,1,1,1
3122,292,73.47006193001337,61078.545454545456,19568.965990270455,61078.545454545456,19568.965990270455,4e4,36e3,1,1,1
3131,75,66.396536054225,117e3,0,89e3,0,4e4,36e3,1,1,1
3132Z,1371,223.5541321470037,33105.625,2798.7018942215536,32149.25,2928.201115960477,4e4,36e3,1,0,0
3133,122,61.699270660195005,27637,1507.2605335905373,27637,2436.2605335905373,4e4,36e3,1,0,0
31411,304,115.22586515188333,94069.5,36936.54951255472,92317.5,35912.18847957278,4e4,36e3,1,1,1
314Z,2240,313.48205690278354,23026,1760.112153760756,22275,1752.7174249919026,4e4,36e3,1,0,0
3152,4251,465.74048567845165,28031.21568627451,1675.546914080558,25808,1938.2561384397286,4e4,36e3,1,0,0
3159,200,72.07114540507872,22364.5,42781.65090431788,20104.434782608696,40252.017256535386,4e4,36e3,1,0,0
3162,203,86.91662671779203,16529.305555555555,31273.143600057832,15675.833333333334,31236.81207770994,4e4,36e3,1,0,0
316M,510,148.42674961070864,24209.090909090908,6612.816587492389,20402.448979591838,6382.971903227843,4e4,36e3,1,0,0
31M,227,99.24212815130478,14907.367924528302,6197.23667513888,8431,2244.381346740612,4e4,36e3,1,0,0
3211,831,204.38835583271373,28896.96153846154,8215.038479419924,28896.96153846154,8158.387867412582,4e4,36e3,1,0,0
3212,139,57.0350769263968,27319.583333333336,12140.953263500123,18e3,5627.15937808101,4e4,36e3,1,0,0
32199M,109,47.93015752112651,36527.72413793103,12543.466527907305,36527.72413793103,12543.466527907305,4e4,36e3,1,0,1
3219ZM,4196,438.47793559083453,31029.88235294118,2449.806660253981,29843.764705882353,2479.4742271203777,4e4,36e3,1,0,0
3221,5235,431.1559462653855,36576.961165048546,3030,34106.50000000001,3333.129533599964,4e4,36e3,1,0,0
32221,4772,367.5368688988902,44202.307692307695,2397.00236160641,43097.15384615386,2195.6140440782237,4e4,36e3,1,1,1
3222M,3821,365.56216981520396,35614,2951.703376770194,34178.25,2634.5,4e4,36e3,1,0,0
3231,28935,1084.153563846008,42e3,1250,40047,1093.6732031682404,4e4,36e3,1,1,1
32411,7215,524.4132912121888,83461.75619834711,3170,82977.04545454546,3387.1137391232005,4e4,36e3,1,1,1
3241M,914,162.29895255361325,57201.92156862745,9841.520103086583,57139.882352941175,10025.68419545329,4e4,36e3,1,1,1
3252,8985,668.5511573544691,30969,2244.779159507014,30700.958333333332,2348.614344908654,4e4,36e3,1,0,0
3253,614,117.90335024926136,79223.72727272728,14136.610186254255,73333.33333333333,12797.835216504622,4e4,36e3,1,1,1
3254,24288,934.4604325491797,81148,2388.2448571580244,8e4,1896.25,4e4,36e3,1,1,1
3255,3870,391.7115009799942,43357,3190.21767976879,43357,2520.596414665506,4e4,36e3,1,1,1
3256,5650,400.5460023517898,37e3,4002.1426877091526,35111.63636363637,3822.2554808111818,4e4,36e3,1,0,0
325M,13381,669.9834699453413,61597.12000000001,2680.0326571203605,6e4,2252.2013837763498,4e4,36e3,1,1,1
3261,18869,866.1574337266869,40046.09259259259,1740.2372705855487,39130.34810126582,1596.5,4e4,36e3,1,1,1
32621,722,154.48041947120677,37025.11627906977,4198.78355328887,37025.11627906977,4198.78355328887,4e4,36e3,1,0,1
3262M,1904,225.34595625393416,37939,3990.6844921538004,37834,4033.2201003988666,4e4,36e3,1,0,1
32711,550,158.5988650652961,32345.80769230769,3156.028385010565,31907.923076923078,2887.5094751910838,4e4,36e3,1,0,0
327120,490,106.24852940158749,50006.96,15036.34309902827,50006.96,13244.942643995439,4e4,36e3,1,1,1
3272,3276,371.89897821854794,38956.666666666664,4740.305758207476,38738.666666666664,4704.956456425117,4e4,36e3,1,0,1
3279,2537,308.54221753270656,46851.35294117647,5614.968401264594,42300.25,6853.411391796236,4e4,36e3,1,1,1
327M,3795,385.8429084485032,56777,3563.9724006575416,53375.275862068964,3569.450557014272,4e4,36e3,1,1,1
3313,2802,351.50426739941577,41293,3027.4229798392525,41293,2907.4478717556085,4e4,36e3,1,1,1
3314,2251,284.7115206660946,51622.91791044776,7152.656750109667,51622.91791044776,7171.741665185267,4e4,36e3,1,1,1
3315,3010,323.01354460765265,45229.74999999999,2804.0973324608894,44014.70731707317,3903.7412488217597,4e4,36e3,1,1,1
331M,30007,1039.2591110979013,66140,1953.0724889301837,63232,1517.75,4e4,36e3,1,1,1
3321,2919,319.1612445144304,50058,2881.7002766834376,50058,2943.59243753416,4e4,36e3,1,1,1
3322,2754,355.1634834833108,44838.68421052632,6975.106144006178,44811.78947368421,6711.455295966019,4e4,36e3,1,1,1
3327,10804,618.8981337829352,42592.62857142857,1396.8398476711827,42e3,1181.25,4e4,36e3,1,1,1
3328,4832,386.6310903173722,36102.333333333336,2787.114872993463,32561,1755.1650444497864,4e4,36e3,1,0,0
33299M,408,120.34720603321043,52168.88888888889,14064.138769300273,42379.70370370371,14481.958778676722,4e4,36e3,1,1,1
332M,10982,704.30181740501,43264.5,1856,41293,1883.7148301854377,4e4,36e3,1,1,1
332MZ,15427,928.1154292435829,40047,1649.467133600121,38e3,1480.3126990063884,4e4,36e3,1,1,1
