NAICS_SUPER,HISP2,HISP_TOTAL,HISP_TOTAL_se,NAICS_TOT,NAICS_TOT_se,HISP_SHARE
11,Hispanic,3626,404.22320566736397,18353,851.1737777915858,0.19756987958371927
11,Not Hispanic,14727,750.1295888044945,18353,851.1737777915858,0.8024301204162807
21,Hispanic,424,122.76420488073876,2613,284.7650786174457,0.162265595101416
21,Not Hispanic,2189,265.9454831351719,2613,284.7650786174457,0.837734404898584
22,Hispanic,3915,472.10396100858975,30824,1090.1797099561154,0.1270114196729821
22,Not Hispanic,26909,954.63618724622,30824,1090.1797099561154,0.8729885803270179
23,Hispanic,73733,1870.0146924556502,297638,3647.6705443337396,0.2477271047379703
23,Not Hispanic,223905,3210.478009580505,297638,3647.6705443337396,0.7522728952620297
31,Hispanic,40738,1456.8572167511818,97830,2122.9617047888546,0.4164162322395993
31,Not Hispanic,57092,1266.95270235317,97830,2122.9617047888546,0.5835837677604007
32,Hispanic,48555,1507.4628685310959,173537,2578.270660733663,0.27979623941868303
32,Not Hispanic,124982,2014.70231051637,173537,2578.270660733663,0.720203760581317
33,Hispanic,94011,2340.4238611841233,353515,3551.634764442988,0.26593213866455456
33,Not Hispanic,259504,2830.2948697971383,353515,3551.634764442988,0.7340678613354454
3M,Hispanic,18441,1102.7893724551393,38678,1585.2455014918037,0.47678266714928386
3M,Not Hispanic,20237,967.6096837051601,38678,1585.2455014918037,0.5232173328507161
42,Hispanic,35410,1144.7032148115948,169170,2292.6087106176665,0.20931607258970267
42,Not Hispanic,133760,2048.8137665488293,169170,2292.6087106176665,0.7906839274102974
44,Hispanic,81611,1838.9975802050421,400101,4041.4531050106225,0.2039759960609946
44,Not Hispanic,318490,3013.469246566157,400101,4041.4531050106225,0.7960240039390054
45,Hispanic,34500,1287.8481859287608,200463,2496.6848219188582,0.17210158483111596
45,Not Hispanic,165963,2180.2140147242426,200463,2496.6848219188582,0.8278984151688841
48,Hispanic,34620,1184.2842564181963,213292,3325.5865347333847,0.16231269808525403
48,Not Hispanic,178672,2930.0061774678907,213292,3325.5865347333847,0.8376873019147459
49,Hispanic,15887,912.386513490856,80531,1851.5946910703758,0.19727806683140653
49,Not Hispanic,64644,1602.0514192746748,80531,1851.5946910703758,0.8027219331685934
4M,Hispanic,3539,440.9974489722134,24114,1130.8802765987211,0.14676121754997098
4M,Not Hispanic,20575,1124.3356482830206,24114,1130.8802765987211,0.853238782450029
51,Hispanic,14652,809.5715842345259,121060,2064.7885363881696,0.12103089377168347
51,Not Hispanic,106408,1831.1661721427688,121060,2064.7885363881696,0.8789691062283166
52,Hispanic,32785,1214.8957362671088,305666,3257.269232040852,0.1072575948911557
52,Not Hispanic,272881,3097.8052553380435,305666,3257.269232040852,0.8927424051088443
53,Hispanic,13032,795.3238648500371,98619,1780.3382262929704,0.13214492136403735
53,Not Hispanic,85587,1502.2547886427255,98619,1780.3382262929704,0.8678550786359627
54,Hispanic,36939,1362.6517530168887,433533,3563.1479551093585,0.08520458650206558
54,Not Hispanic,396594,3184.8476808161486,433533,3563.1479551093585,0.9147954134979344
55,Hispanic,463,139.8216721399083,6885,448.39697813433133,0.0672476397966594
55,Not Hispanic,6422,427.49929824503806,6885,448.39697813433133,0.9327523602033406
56,Hispanic,94889,2126.756403540377,281476,3405.4995154896146,0.33711222271170543
56,Not Hispanic,186587,2656.526971442225,281476,3405.4995154896146,0.6628877772882945
61,Hispanic,56597,1449.526439910635,519178,4138.171619205757,0.10901270855082457
61,Not Hispanic,462581,3862.563442844661,519178,4138.171619205757,0.8909872914491754
62,Hispanic,94422,1867.2876452223425,694751,4686.125323761626,0.13590768491157262
62,Not Hispanic,600329,3926.4082951216374,694751,4686.125323761626,0.8640923150884273
71,Hispanic,21123,998.6370461784402,146474,2421.270152213503,0.1442098939060857
71,Not Hispanic,125351,1977.6591971318012,146474,2421.270152213503,0.8557901060939143
72,Hispanic,146621,2917.3296951150382,417236,4171.491987287043,0.35141023305755015
72,Not Hispanic,270615,3098.442245709931,417236,4171.491987287043,0.6485897669424499
81,Hispanic,53854,1419.5011799924648,269679,2822.7430453372835,0.19969667641900185
81,Not Hispanic,215825,2430.8813627982754,269679,2822.7430453372835,0.8003033235809982
92,Hispanic,24410,919.7495039411547,198887,2713.4550945243227,0.12273300919617672
92,Not Hispanic,174477,2545.051138975404,198887,2713.4550945243227,0.8772669908038233
99,Hispanic,23819,1024.718619914755,106489,2090.1260009865437,0.22367568481251585
99,Not Hispanic,82670,1801.0327731609996,106489,2090.1260009865437,0.7763243151874841
