NAICS_SUPER,RACE2,RACE_TOTAL,RACE_TOTAL_se,NAICS_TOT,NAICS_TOT_se,RACE_SHARE
11,AIAN,29,23.59131196012634,18353,851.1737777915858,0.0015801231406309595
11,Asian,461,147.54490841774242,18353,851.1737777915858,0.025118509235547322
11,Black,750,191.5370721296533,18353,851.1737777915858,0.040865253637007576
11,Other Race,1882,326.0976847510574,18353,851.1737777915858,0.10254454312646434
11,White,15231,733.3057343291406,18353,851.1737777915858,0.8298915708603498
21,AIAN,0,0,2613,284.7650786174457,0
21,Asian,121,99.94523500397605,2613,284.7650786174457,0.04630692690394183
21,Black,265,105.72393295749076,2613,284.7650786174457,0.101415996938385
21,Other Race,228,87.68437717176305,2613,284.7650786174457,0.08725602755453502
21,White,1999,208.28106010869064,2613,284.7650786174457,0.7650210486031381
22,AIAN,58,38.58821063485583,30824,1090.1797099561154,0.001881650661821957
22,Asian,1030,171.00584785322403,30824,1090.1797099561154,0.033415520373734756
22,Black,5124,427.1176067548609,30824,1090.1797099561154,0.1662341032961329
22,Other Race,1289,236.97478768847964,30824,1090.1797099561154,0.04181806384635349
22,White,23323,923.0331792519703,30824,1090.1797099561154,0.756650661821957
23,AIAN,1013,182.42875321615284,297638,3647.6705443337396,0.003403463267459128
23,Asian,4006,392.57865453944385,297638,3647.6705443337396,0.01345930291159059
23,Black,19406,815.2241716239773,297638,3647.6705443337396,0.06520000806348651
23,Other Race,34731,1537.2446617243463,297638,3647.6705443337396,0.11668872926172061
23,White,238482,3305.4889729055217,297638,3647.6705443337396,0.8012484964957431
31,AIAN,297,96.67057463364951,97830,2122.9617047888546,0.0030358785648574057
31,Asian,5317,392.56470804187177,97830,2122.9617047888546,0.054349381580292344
31,Black,11240,643.0551687063871,97830,2122.9617047888546,0.11489318205049576
31,Other Race,19911,1115.4410114389734,97830,2122.9617047888546,0.20352652560564244
31,White,61065,1435.7889991220854,97830,2122.9617047888546,0.6241950321987121
32,AIAN,696,142.552797236673,173537,2578.270660733663,0.004010672075695673
32,Asian,10719,642.4878208962408,173537,2578.270660733663,0.06176780744164069
32,Black,15628,700.0479269307209,173537,2578.270660733663,0.0900557229870287
32,Other Race,23806,1091.745712150957,173537,2578.270660733663,0.13718111987645287
32,White,122688,2125.804412451908,173537,2578.270660733663,0.706984677619182
33,AIAN,655,120.32414554028631,353515,3551.634764442988,0.0018528209552635673
33,Asian,24327,931.3725892466451,353515,3551.634764442988,0.06881461889877374
33,Black,31305,1091.1562445406248,353515,3551.634764442988,0.08855352672446713
33,Other Race,43816,1484.1777016247079,353515,3551.634764442988,0.1239438213371427
33,White,253412,2989.9600666229644,353515,3551.634764442988,0.7168352120843529
3M,AIAN,194,83.5404093837228,38678,1585.2455014918037,0.005015771239464295
3M,Asian,1329,208.96112078566193,38678,1585.2455014918037,0.03436061843942293
3M,Black,5214,450.49028846358055,38678,1585.2455014918037,0.1348053156833342
3M,Other Race,8352,784.0684600211897,38678,1585.2455014918037,0.2159367082062154
3M,White,23589,1110.926460212376,38678,1585.2455014918037,0.6098815864315632
42,AIAN,587,136.82909047421165,169170,2292.6087106176665,0.0034698823668499142
42,Asian,10629,708.5787535623687,169170,2292.6087106176665,0.06283028905834367
42,Black,14583,888.8560063362344,169170,2292.6087106176665,0.08620322752261039
