NAICS_SUPER,RACE_HISP,RACEHISP_TOTAL,RACEHISP_TOTAL_se,NAICS_TOT,NAICS_TOT_se,RACEHISP_SHARE
11,Hispanic AIAN,18,17.732738085247863,18353,851.1737777915858,9.807660872881818e-4
11,Hispanic Asian,10,11.884864324004713,18353,851.1737777915858,5.448700484934343e-4
11,Hispanic Black,0,0,18353,851.1737777915858,0
11,Hispanic Other,1554,306.8440157474152,18353,851.1737777915858,0.08467280553587969
11,Hispanic White,2044,278.80181132840585,18353,851.1737777915858,0.11137143791205797
11,Non-Hispanic AIAN,11,12.44588285337766,18353,851.1737777915858,5.993570533427778e-4
11,Non-Hispanic Asian,451,146.61838220359684,18353,851.1737777915858,0.024573639187053888
11,Non-Hispanic Black,750,191.5370721296533,18353,851.1737777915858,0.040865253637007576
11,Non-Hispanic Other,328,100.9814339371352,18353,851.1737777915858,0.017871737590584646
11,Non-Hispanic White,13187,662.7281116717473,18353,851.1737777915858,0.7185201329482919
21,Hispanic AIAN,0,0,2613,284.7650786174457,0
21,Hispanic Asian,0,0,2613,284.7650786174457,0
21,Hispanic Black,0,0,2613,284.7650786174457,0
21,Hispanic Other,192,85.50994094255942,2613,284.7650786174457,0.07347876004592423
21,Hispanic White,232,95.75541760130338,2613,284.7650786174457,0.08878683505549177
21,Non-Hispanic AIAN,0,0,2613,284.7650786174457,0
21,Non-Hispanic Asian,121,99.94523500397605,2613,284.7650786174457,0.04630692690394183
21,Non-Hispanic Black,265,105.72393295749076,2613,284.7650786174457,0.101415996938385
21,Non-Hispanic Other,36,27.446311227558432,2613,284.7650786174457,0.013777267508610792
21,Non-Hispanic White,1767,206.33516423528008,2613,284.7650786174457,0.6762342135476463
22,Hispanic AIAN,0,0,30824,1090.1797099561154,0
22,Hispanic Asian,0,0,30824,1090.1797099561154,0
22,Hispanic Black,8,8.435045939412541,30824,1090.1797099561154,2.595380223202699e-4
22,Hispanic Other,1029,218.4802050529979,30824,1090.1797099561154,0.033383078120944716
22,Hispanic White,2878,384.0904841310183,30824,1090.1797099561154,0.0933688035297171
22,Non-Hispanic AIAN,58,38.58821063485583,30824,1090.1797099561154,0.001881650661821957
22,Non-Hispanic Asian,1030,171.00584785322403,30824,1090.1797099561154,0.033415520373734756
22,Non-Hispanic Black,5116,428.1812700247408,30824,1090.1797099561154,0.1659745652738126
22,Non-Hispanic Other,260,74.05977315655241,30824,1090.1797099561154,0.008434985725408772
22,Non-Hispanic White,20445,852.911630827016,30824,1090.1797099561154,0.6632818582922398
23,Hispanic AIAN,606,132.10942434209605,297638,3647.6705443337396,0.002036030345587593
23,Hispanic Asian,14,15.111254084290954,297638,3647.6705443337396,4.703700468354175e-5
23,Hispanic Black,278,85.80151513813728,297638,3647.6705443337396,9.340205215731863e-4
23,Hispanic Other,32213,1500.3405613393247,297638,3647.6705443337396,0.10822878799078074
23,Hispanic White,40622,1068.416164235641,297638,3647.6705443337396,0.13648122887534522
23,Non-Hispanic AIAN,407,127.86027530081421,297638,3647.6705443337396,0.0013674329218715353
23,Non-Hispanic Asian,3992,392.16087260204836,297638,3647.6705443337396,0.013412265906907047
23,Non-Hispanic Black,19128,817.5168193988427,297638,3647.6705443337396,0.06426598754191333
23,Non-Hispanic Other,2518,278.40105962442027,297638,3647.6705443337396,0.008459941270939866
23,Non-Hispanic White,197860,3117.353789674826,297638,3647.6705443337396,0.664767267620398
31,Hispanic AIAN,263,83.60472474687062,97830,2122.9617047888546,0.002688336910968006
31,Hispanic Asian,49,37.326933975348155,97830,2122.9617047888546,5.008688541347235e-4
31,Hispanic Black,100,52.00624962444418,97830,2122.9617047888546,0.0010221813349688236
31,Hispanic Other,19099,1109.916032860144,97830,2122.9617047888546,0.19522641316569558
31,Hispanic White,21227,983.0221004636671,97830,2122.9617047888546,0.21697843197383215
31,Non-Hispanic AIAN,34,37.2981232771838,97830,2122.9617047888546,3.4754165388939997e-4
31,Non-Hispanic Asian,5268,386.4751609094691,97830,2122.9617047888546,0.05384851272615762
