IND,SOC_LABEL,SEX,RACE_HISP,TOTALS
0,NA,1,Hispanic AIAN,836
0,NA,1,Hispanic Asian,198
0,NA,1,Hispanic Black,1533
0,NA,1,Hispanic Multiracial,2576
0,NA,1,Hispanic Other,35481
0,NA,1,Hispanic White,66471
0,NA,1,Non-Hispanic AIAN,669
0,NA,1,Non-Hispanic Asian,37354
0,NA,1,Non-Hispanic Black,172106
0,NA,1,Non-Hispanic Multiracial,7201
0,NA,1,Non-Hispanic Other,960
0,NA,1,Non-Hispanic White,350033
0,NA,2,Hispanic AIAN,1236
0,NA,2,Hispanic Asian,552
0,NA,2,Hispanic Black,1884
0,NA,2,Hispanic Multiracial,4479
0,NA,2,Hispanic Other,75603
0,NA,2,Hispanic White,125666
0,NA,2,Non-Hispanic AIAN,1844
0,NA,2,Non-Hispanic Asian,73013
0,NA,2,Non-Hispanic Black,212003
0,NA,2,Non-Hispanic Multiracial,10010
0,NA,2,Non-Hispanic Other,1280
0,NA,2,Non-Hispanic White,592936
1070,Architecture and Engineering Occupations,1,Non-Hispanic White,139
1070,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic White,48
1070,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic Asian,56
1070,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,47
1070,Business and Financial Operations Occupations,1,Non-Hispanic Asian,10
1070,Business and Financial Operations Occupations,1,Non-Hispanic White,94
1070,Business and Financial Operations Occupations,2,Hispanic White,25
1070,Business and Financial Operations Occupations,2,Non-Hispanic White,239
1070,Computer and Mathematical Occupations,1,Hispanic White,11
1070,Computer and Mathematical Occupations,1,Non-Hispanic Asian,43
1070,Computer and Mathematical Occupations,1,Non-Hispanic Black,26
1070,Computer and Mathematical Occupations,1,Non-Hispanic White,206
1070,Computer and Mathematical Occupations,2,Non-Hispanic White,29
1070,Construction and Extraction Occupations,1,Non-Hispanic White,18
1070,"Installation, Maintenance, and Repair Occupations",1,Hispanic White,52
1070,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,96
1070,"Installation, Maintenance, and Repair Occupations",2,Non-Hispanic White,21
1070,"Life, Physical, and Social Science Occupations",1,Non-Hispanic Asian,23
1070,"Life, Physical, and Social Science Occupations",1,Non-Hispanic Black,55
1070,"Life, Physical, and Social Science Occupations",1,Non-Hispanic White,17
1070,"Life, Physical, and Social Science Occupations",2,Hispanic Other,7
1070,"Life, Physical, and Social Science Occupations",2,Hispanic White,2
1070,"Life, Physical, and Social Science Occupations",2,Non-Hispanic White,80
1070,Management Occupations,1,Non-Hispanic Asian,17
1070,Management Occupations,1,Non-Hispanic Black,14
1070,Management Occupations,1,Non-Hispanic White,474
1070,Management Occupations,2,Non-Hispanic Asian,70
1070,Management Occupations,2,Non-Hispanic White,359
1070,Office and Administrative Support Occupations,1,Non-Hispanic Black,97
1070,Office and Administrative Support Occupations,1,Non-Hispanic White,63
1070,Office and Administrative Support Occupations,2,Hispanic White,17
1070,Office and Administrative Support Occupations,2,Non-Hispanic Black,111
1070,Office and Administrative Support Occupations,2,Non-Hispanic White,285
1070,Personal Care and Service Occupations,1,Non-Hispanic White,28
1070,Production Occupations,1,Hispanic Other,371
1070,Production Occupations,1,Hispanic White,377
1070,Production Occupations,1,Non-Hispanic Asian,27
1070,Production Occupations,1,Non-Hispanic Black,196
1070,Production Occupations,1,Non-Hispanic Multiracial,62
1070,Production Occupations,1,Non-Hispanic White,287
1070,Production Occupations,2,Hispanic Other,153
1070,Production Occupations,2,Hispanic White,147
1070,Production Occupations,2,Non-Hispanic Black,122
1070,Production Occupations,2,Non-Hispanic White,158
1070,Sales and Related Occupations,1,Non-Hispanic White,150
1070,Sales and Related Occupations,2,Non-Hispanic White,113
1070,Tarnsportation and Material Moving Occupations,1,Hispanic Other,124
1070,Tarnsportation and Material Moving Occupations,1,Hispanic White,237
1070,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,253
1070,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Multiracial,98
1070,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,160
1070,Tarnsportation and Material Moving Occupations,2,Hispanic White,87
1070,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Black,23
1070,Tarnsportation and Material Moving Occupations,2,Non-Hispanic White,84
